Sale_ID,Customer_Name,Product,Quantity,Sale_Price,Sale_Date,Region,Sales_Channel,Sales_Rep,Sale_Cost
SAL100000,Joel Ochoa,Keyboard,6,1150.41,2025-03-16,South,Online,Alejandro Rivera,986.87
SAL100001,Danielle Chen,Camera,1,1533.1,2025-05-11,West,Reseller,Shelia Montgomery,1315.16
SAL100002,Veronica Bryant,Mouse,1,1982.68,2024-07-01,East,Retail,Krista Gardner,1700.82
SAL100003,Amy Lawson,Mouse,1,517.27,2024-06-29,South,Reseller,Lisa Rodgers,443.74
SAL100004,John Griffin,Phone,3,494.09,2024-09-02,Central,Online,Christina Navarro,423.85
SAL100005,Justin Murphy,Keyboard,1,665.55,2025-02-17,North,Retail,Daniel Green,570.94
SAL100006,Jesse Stein,Mouse,9,868.42,2025-03-18,North,Reseller,Michael Brown,744.97
SAL100007,Beverly Turner,Mouse,1,399.78,2024-09-02,West,Reseller,Ryan Payne,342.95
SAL100008,George Blackburn,Printer,5,1217.12,2024-06-30,East,Retail,Karen Reid,1044.1
SAL100009,Nicole Mcguire,Monitor,3,118.41,2025-03-10,West,Reseller,Amy Jones MD,101.58
SAL100010,Zachary Green,Mouse,2,304.28,2025-06-09,West,Online,Charles Long,261.02
SAL100011,William White,Camera,4,1399.54,2025-03-23,West,Online,Sydney Johnson DVM,1200.58
SAL100012,Gregory Schaefer,Tablet,5,1085.05,2024-09-08,Central,Reseller,Jonathan Sparks,930.8
SAL100013,James Fuller,Camera,9,1768.22,2024-07-03,East,Online,Matthew Douglas,1516.85
SAL100014,Robert Lindsey,Camera,9,316.53,2025-04-03,South,Retail,Laura Vazquez,271.53
SAL100015,Alexander Woods,Mouse,5,800.97,2024-11-26,North,Online,Pamela Wilson,687.11
SAL100016,Joshua Garcia,Phone,4,171.92,2024-08-15,East,Reseller,Jessica Martin,147.48
SAL100017,Laura Wallace,Laptop,9,1096.44,2025-02-04,North,Online,Maria Neal,940.57
SAL100018,Brian Johnson,Mouse,1,105.56,2024-11-14,South,Retail,Ronald Cook,90.55
SAL100019,Sara Casey MD,Monitor,5,1377.08,2025-04-28,West,Retail,Steven Baker,1181.32
SAL100020,Eric Lewis,Phone,9,1195.86,2025-04-29,South,Retail,Linda Smith,1025.86
SAL100021,Linda Martinez,Monitor,6,1201.55,2024-08-01,East,Retail,Nathan Morris,1030.74
SAL100022,Kristina Miller,Mouse,7,997.68,2025-03-22,West,Retail,Laura Maxwell,855.85
SAL100023,Debra Mcmahon,Printer,2,734.3,2024-09-07,South,Reseller,Ashley Gonzalez,629.91
SAL100024,Joshua White,Monitor,7,634.61,2025-04-13,West,Reseller,Amber Underwood,544.39
SAL100025,Frank James,Monitor,4,1393.56,2025-05-08,Central,Online,Matthew Phillips,1195.45
SAL100026,Brittany Brock,Printer,7,524.15,2024-10-25,West,Online,Ellen Torres,449.64
SAL100027,Daniel Ford,Mouse,6,988.3,2025-01-01,West,Retail,Tina Smith,847.8
SAL100028,Michael Mann MD,Phone,7,991.01,2025-05-16,South,Reseller,Wanda Wheeler,850.13
SAL100029,Dr. April Robinson,Phone,7,1583.75,2025-05-25,Central,Retail,Janet Sharp,1358.61
SAL100030,Erin Guerrero,Laptop,4,215.76,2024-10-06,East,Reseller,Mr. Matthew Washington,185.09
SAL100031,Johnny Carter,Camera,9,454.64,2024-12-22,West,Online,Ryan Weaver,390.01
SAL100032,Kayla Richards,Printer,2,913.75,2024-12-26,West,Online,Christy Manning,783.85
SAL100033,Mitchell Spencer,Laptop,1,673.31,2024-10-10,East,Retail,Mr. Thomas Andrews,577.59
SAL100034,Andrea Peters,Tablet,5,791.96,2024-11-03,East,Reseller,Amanda Pierce,679.38
SAL100035,Brenda Parker,Tablet,3,845.31,2024-06-25,West,Online,Jason Webb,725.14
SAL100036,Wendy Elliott,Printer,6,190.06,2024-08-04,South,Online,Jennifer Hall,163.04
SAL100037,Jeanette Lucas,Monitor,3,366.74,2025-04-01,West,Reseller,Christopher Holder,314.6
SAL100038,Henry May,Tablet,6,768.7,2024-09-16,North,Retail,Matthew Leon,659.42
SAL100039,Lori Marsh,Tablet,8,1422.57,2025-05-27,Central,Online,Crystal Deleon,1220.34
SAL100040,Jared Hughes,Phone,1,971.66,2024-10-30,Central,Online,Karen Lewis,833.53
SAL100041,Charles Hood,Phone,8,901.27,2025-05-18,West,Retail,Carla Willis,773.15
SAL100042,Jacob Foster,Monitor,7,1204.72,2025-06-05,Central,Reseller,Brandy Eaton,1033.46
SAL100043,Kaylee George,Keyboard,9,607.65,2025-05-11,Central,Online,Wanda Gibson,521.27
SAL100044,Katherine Colon,Camera,1,652.61,2024-07-24,South,Online,Kenneth Mitchell,559.84
SAL100045,Andrea Foley,Phone,5,1357.79,2024-06-21,East,Reseller,Judith Sims,1164.77
SAL100046,Lori Walsh,Mouse,9,900.51,2024-12-13,North,Retail,Nathan Vazquez,772.49
SAL100047,Susan Torres,Monitor,5,119.59,2024-11-22,East,Online,Michael Moran,102.59
SAL100048,Richard Mccarthy,Printer,3,1590.83,2024-12-16,Central,Online,Brandon Pierce,1364.68
SAL100049,Shannon Crawford,Tablet,1,135.08,2025-02-25,North,Reseller,Pamela Garza,115.88
SAL100050,Melissa Davis,Laptop,9,843.62,2024-12-15,West,Online,Ricardo Lucas,723.69
SAL100051,Stephanie Evans,Printer,6,956.19,2024-08-27,West,Online,Shelly Mcdaniel,820.26
SAL100052,Brianna Joseph,Keyboard,2,1954.82,2024-06-18,West,Reseller,Amber Atkinson,1676.93
SAL100053,Amy Carr DDS,Laptop,4,403.88,2025-04-01,West,Reseller,Daniel Campbell,346.46
SAL100054,Tyrone May,Monitor,2,254.61,2025-04-05,North,Online,William Roy,218.41
